cliente_id,nome,data_nascimento
1,Henrique Carvalho,1994-03-12
2,Caroline Carvalho,1984-09-04
3,Sr. Isaac Rodrigues,1968-08-06
4,Nathan Teixeira,1978-06-03
5,Luiza Nascimento,1982-01-30
6,Pedro Henrique Cunha,1989-09-07
7,Vinicius Cardoso,1983-07-07
8,Ryan Peixoto,1998-08-22
9,Thomas Mendes,1992-03-12
10,Sophia Costela,1971-01-09
11,Bernardo da Costa,1965-07-30
12,Dra. Caroline Oliveira,1981-10-28
13,Juliana Nogueira,1996-02-13
14,Francisco Vieira,1985-08-27
15,Levi Cardoso,1984-12-20
16,Lavínia Vieira,1986-09-29
17,Amanda Santos,1996-12-11
18,Nicole da Conceição,1992-10-28
19,Sr. João Miguel Freitas,1996-08-20
20,Heitor Campos,1999-01-18
21,Rafaela da Rosa,1981-07-18
22,Sr. Diogo Viana,1984-01-23
23,Larissa Melo,1999-03-01
24,Rodrigo da Cruz,2000-12-05
25,Lucca Correia,1982-12-23
26,Isaac da Luz,1965-04-14
27,Ryan Correia,1968-06-01
28,Beatriz Almeida,1993-10-14
29,Bruna da Costa,1990-01-21
30,Raquel Correia,1981-04-17
31,Sra. Brenda Costa,1984-12-30
32,Alexandre Alves,1997-02-16
33,João Gabriel Rezende,2000-06-14
34,Raquel Fogaça,1976-09-23
35,Renan Martins,1973-05-04
36,Sr. Vitor Hugo da Mata,1991-05-27
37,Levi Santos,1996-02-26
38,Emanuella da Rosa,1998-08-17
39,Nathan Pinto,1980-08-22
40,Sra. Marcela Costa,1969-02-20
41,Francisco Novaes,1968-02-23
42,Dr. Raul Lopes,1974-05-12
43,Henrique Freitas,1979-05-10
44,Matheus Nascimento,1974-08-25
45,Cecília Barbosa,1970-10-28
46,Isis Barros,1962-07-15
47,Leonardo Jesus,1991-01-14
48,Francisco da Mota,1961-11-28
49,Theo Dias,1986-07-26
50,Sra. Lívia da Mata,1995-08-01
